o	k	id	parent	pri	m
81	fmt	elixir	source-code		
82	fmt	gleam	source-code		
83	fmt	clojure	source-code		
84	fmt	common-lisp	source-code		
85	fmt	scheme	source-code		
86	fmt	racket	source-code		
87	fmt	r	source-code		
88	fmt	julia	source-code		
89	fmt	matlab	source-code		
90	fmt	wolfram	source-code		
91	fmt	cobol	enterprise-legacy-code		
92	fmt	jcl	enterprise-legacy-code		
93	fmt	pli	enterprise-legacy-code		
94	fmt	rpg	enterprise-legacy-code		
95	fmt	ibmi-cl	enterprise-legacy-code		
96	fmt	ada	enterprise-legacy-code		
97	fmt	fortran	enterprise-legacy-code		
98	fmt	pascal	enterprise-legacy-code		
99	fmt	delphi	enterprise-legacy-code		
100	fmt	abap	enterprise-legacy-code		
101	fmt	apex	enterprise-legacy-code		
102	fmt	smalltalk	enterprise-legacy-code		
103	fmt	progress-abl	enterprise-legacy-code		
104	fmt	natural	enterprise-legacy-code		
105	fmt	mumps	enterprise-legacy-code		
106	fmt	posix-sh	shell-sql		
107	fmt	bash	shell-sql		
108	fmt	zsh	shell-sql		
109	fmt	fish	shell-sql		
110	fmt	powershell	shell-sql		
111	fmt	cmd	shell-sql		
112	fmt	sql	shell-sql		
113	fmt	plsql	shell-sql		
114	fmt	tsql	shell-sql		
115	fmt	db2-sqlpl	shell-sql		
116	fmt	snowflake-sql	shell-sql		
117	fmt	bigquery-sql	shell-sql		
118	fmt	hiveql	shell-sql		
119	fmt	spark-sql	shell-sql		
120	fmt	lean	formal-planning	P0	
121	fmt	coq	formal-planning		
122	fmt	isabelle	formal-planning		
123	fmt	agda	formal-planning		
124	fmt	tla	formal-planning	P0	
125	fmt	pluscal	formal-planning		
126	fmt	alloy	formal-planning		
127	fmt	dafny	formal-planning		
128	fmt	fstar	formal-planning		
129	fmt	whyml	formal-planning		
130	fmt	smtlib	formal-planning	P0	
131	fmt	promela	formal-planning		
132	fmt	p-lang	formal-planning		
133	fmt	vdm	formal-planning		
134	fmt	event-b	formal-planning		
135	fmt	pddl	formal-planning	P0	
136	fmt	hddl	formal-planning	P0	
137	fmt	anml	formal-planning		
138	fmt	ppddl	formal-planning		
139	fmt	sasplus	formal-planning		
140	fmt	htn	formal-planning		
141	fmt	makefile	build-package		
142	fmt	cmake	build-package		
143	fmt	meson	build-package		
144	fmt	ninja	build-package		
145	fmt	bazel	build-package		
146	fmt	buck	build-package		
147	fmt	gradle	build-package		
148	fmt	maven	build-package		
149	fmt	sbt	build-package		
150	fmt	ant	build-package		
151	fmt	msbuild	build-package		
152	fmt	visual-studio-sln	build-package		
153	fmt	dotnet-project	build-package		
154	fmt	nix	build-package		
155	fmt	guix	build-package		
156	fmt	cargo-manifest	build-package		
157	fmt	node-manifest	build-package		
158	fmt	npm-lock	build-package		
159	fmt	yarn-lock	build-package		
160	fmt	pnpm-lock	build-package		
161	fmt	bun-lock	build-package		
162	fmt	pyproject	build-package		
163	fmt	uv-lock	build-package		
164	fmt	requirements	build-package		
165	fmt	setup-py	build-package		
166	fmt	pipfile	build-package		
167	fmt	poetry-lock	build-package		
168	fmt	go-mod	build-package		
169	fmt	gemfile	build-package		
170	fmt	composer	build-package		
171	fmt	nuget	build-package		
172	fmt	conan	build-package		
173	fmt	vcpkg	build-package		
174	fmt	openapi	api-idl		
175	fmt	asyncapi	api-idl		
176	fmt	graphql-sdl	api-idl		
177	fmt	graphql-introspection	api-idl		
178	fmt	protobuf	api-idl		
179	fmt	thrift	api-idl		
180	fmt	avro-idl	api-idl		
181	fmt	smithy	api-idl		
182	fmt	raml	api-idl		
183	fmt	api-blueprint	api-idl		
184	fmt	wsdl	api-idl		
185	fmt	xsd	api-idl		
186	fmt	wadl	api-idl		
187	fmt	json-schema	api-idl		
188	fmt	typespec	api-idl		
189	fmt	webidl	api-idl		
190	fmt	wit	api-idl		
191	fmt	capnproto	api-idl		
192	fmt	flatbuffers	api-idl		
193	fmt	cddl	api-idl		
194	fmt	mcp-manifest	api-idl		
195	fmt	agent-skill	api-idl		
196	fmt	dspy-program	api-idl		
197	fmt	csv	tabular-analytics		
198	fmt	tsv	tabular-analytics		
199	fmt	psv	tabular-analytics		
200	fmt	fixed-width	tabular-analytics		
201	fmt	xls	tabular-analytics		
202	fmt	xlsx	tabular-analytics		
203	fmt	xlsb	tabular-analytics		
204	fmt	ods	tabular-analytics		
205	fmt	dbf	tabular-analytics		
206	fmt	html-table	tabular-analytics		
207	fmt	parquet	tabular-analytics		
208	fmt	orc	tabular-analytics		
209	fmt	arrow-ipc	tabular-analytics		
210	fmt	feather	tabular-analytics		
211	fmt	avro-container	tabular-analytics		
212	fmt	iceberg	tabular-analytics		
213	fmt	delta-lake	tabular-analytics		
214	fmt	hudi	tabular-analytics		
215	fmt	hdf5	tabular-analytics		
216	fmt	netcdf	tabular-analytics		
217	fmt	fits	tabular-analytics		
218	fmt	stata	tabular-analytics		
219	fmt	spss	tabular-analytics		
220	fmt	sas-data	tabular-analytics		
221	fmt	mat-file	tabular-analytics		
222	fmt	pickle	tabular-analytics		
223	fmt	sqlite	database-schema		
224	fmt	duckdb	database-schema		
225	fmt	postgres-dump	database-schema		
226	fmt	mysql-dump	database-schema		
227	fmt	sqlserver-bacpac	database-schema		
228	fmt	oracle-dump	database-schema		
229	fmt	db2-export	database-schema		
230	fmt	flyway	database-schema		
231	fmt	liquibase	database-schema		
232	fmt	alembic	database-schema		
233	fmt	prisma	database-schema		
234	fmt	drizzle	database-schema		
235	fmt	knex	database-schema		
236	fmt	sequelize	database-schema		
237	fmt	typeorm	database-schema		
238	fmt	django-migration	database-schema		
239	fmt	rails-migration	database-schema		
240	fmt	ef-migration	database-schema		
241	fmt	dbmate	database-schema		
242	fmt	txt	documents-office	P0	
243	fmt	markdown	documents-office	P0	
244	fmt	mdx	documents-office		
245	fmt	asciidoc	documents-office		
246	fmt	rst	documents-office		
247	fmt	org	documents-office		
248	fmt	html	documents-office	P0	
249	fmt	pdf	documents-office	P0	
250	fmt	doc	documents-office		
251	fmt	docx	documents-office	P0	
252	fmt	odt	documents-office		
253	fmt	rtf	documents-office		
254	fmt	epub	documents-office		
255	fmt	latex	documents-office		
256	fmt	manpage	documents-office		
257	fmt	ppt	documents-office		
258	fmt	pptx	documents-office	P0	
259	fmt	odp	documents-office		
260	fmt	vsdx	documents-office		
261	fmt	mpp	documents-office		
262	fmt	primavera-xer	documents-office		
263	fmt	jupyter	documents-office	P0	
264	fmt	quarto	documents-office		
265	fmt	rmarkdown	documents-office		
266	fmt	observable	documents-office		
267	fmt	zeppelin	documents-office		
268	fmt	powl	process-event		
269	fmt	bpmn	process-event		
270	fmt	dmn	process-event		
271	fmt	cmmn	process-event		
272	fmt	xpdl	process-event		
273	fmt	bpel	process-event		
274	fmt	yawl	process-event		
275	fmt	epml	process-event		
276	fmt	pnml	process-event		
277	fmt	declare	process-event		
278	fmt	ocel2-json	process-event		
279	fmt	ocel2-xml	process-event		
280	fmt	ocel2-sqlite	process-event		
281	fmt	ocel1	process-event		
282	fmt	xes	process-event		
283	fmt	mxml	process-event		
284	fmt	csv-event-log	process-event		
285	fmt	parquet-event-log	process-event		
286	fmt	archimate	enterprise-architecture		
287	fmt	uml-xmi	enterprise-architecture		
288	fmt	sysml-xmi	enterprise-architecture		
289	fmt	sysml2	enterprise-architecture		
290	fmt	sparx-ea	enterprise-architecture		
291	fmt	cameo	enterprise-architecture		
292	fmt	capella	enterprise-architecture		
293	fmt	structurizr	enterprise-architecture		
294	fmt	plantuml	enterprise-architecture		
295	fmt	mermaid	enterprise-architecture		
296	fmt	graphviz-dot	enterprise-architecture		
297	fmt	d2	enterprise-architecture		
298	fmt	drawio	enterprise-architecture		
299	fmt	graphml	enterprise-architecture		
300	fmt	gexf	enterprise-architecture		
301	fmt	gml	enterprise-architecture		
302	fmt	cytoscape-json	enterprise-architecture		
303	fmt	cypher	enterprise-architecture		
304	fmt	terraform-hcl	cloud-iac		
305	fmt	terraform-json	cloud-iac		
306	fmt	terraform-plan-json	cloud-iac		
307	fmt	terraform-state	cloud-iac		
308	fmt	terraform-lock	cloud-iac		
309	fmt	cloudformation	cloud-iac		
310	fmt	aws-cdk-synth	cloud-iac		
311	fmt	bicep	cloud-iac		
312	fmt	arm-template	cloud-iac		
313	fmt	pulumi	cloud-iac		
314	fmt	kubernetes	cloud-iac		
315	fmt	kubernetes-crd	cloud-iac		
316	fmt	helm	cloud-iac		
317	fmt	kustomize	cloud-iac		
318	fmt	crossplane	cloud-iac		
319	fmt	ansible	cloud-iac		
320	fmt	puppet	cloud-iac		
321	fmt	chef	cloud-iac		
322	fmt	salt	cloud-iac		
323	fmt	cloud-init	cloud-iac		
324	fmt	ignition	cloud-iac		
325	fmt	systemd	cloud-iac		
326	fmt	launchd	cloud-iac		
327	fmt	dockerfile	cloud-iac		
328	fmt	compose	cloud-iac		
329	fmt	oci-manifest	cloud-iac		
330	fmt	packer	cloud-iac		
331	fmt	vagrant	cloud-iac		
332	fmt	github-actions	cicd-sdlc		
333	fmt	gitlab-ci	cicd-sdlc		
334	fmt	jenkinsfile	cicd-sdlc		
335	fmt	azure-pipelines	cicd-sdlc		
336	fmt	circleci	cicd-sdlc		
337	fmt	buildkite	cicd-sdlc		
338	fmt	travis	cicd-sdlc		
339	fmt	bitbucket-pipelines	cicd-sdlc		
340	fmt	teamcity	cicd-sdlc		
341	fmt	drone	cicd-sdlc		
342	fmt	tekton	cicd-sdlc		
343	fmt	argo-workflows	cicd-sdlc		
344	fmt	spinnaker	cicd-sdlc		
345	fmt	git-bundle	cicd-sdlc		
