o	k	id	parent	pri	m
565	live	jenkins-runtime		P1	true
566	live	azure-devops-runtime		P0	true
567	live	jira		P0	true
568	live	servicenow		P0	true
569	live	linear		P1	true
570	live	github-issues		P0	true
571	live	gitlab-issues		P1	true
572	live	aws-iam-runtime		P0	true
573	live	azure-entra-runtime		P0	true
574	live	gcp-iam-runtime		P0	true
575	live	otel-collector		P0	true
576	live	prometheus-runtime		P0	true
577	live	grafana-runtime		P1	true
578	live	splunk		P1	true
579	live	elastic		P1	true
580	live	datadog		P1	true
581	live	newrelic		P1	true
582	live	salesforce		P0	true
583	live	sap		P0	true
584	live	workday		P1	true
585	live	microsoft365		P0	true
586	live	google-workspace		P0	true
587	live	slack		P1	true
588	live	teams		P1	true
589	live	dns		P0	true
590	live	tls		P0	true
591	live	service-discovery		P0	true
592	live	network-routing		P1	true
593	live	firewall-policy		P1	true
594	live	object-storage		P0	true
595	live	artifact-registry		P0	true
596	live	secrets-manager		P0	true
597	live	cmdb		P0	true
598	stage	detected		P0	true
599	stage	identified		P0	true
600	stage	hashed		P0	true
601	stage	decoded		P0	true
602	stage	parsed		P0	true
603	stage	normalized		P0	true
604	stage	observed		P0	true
605	stage	mapped		P0	true
606	stage	admitted		P0	true
607	stage	quarantined		P0	true
608	ctl	exact-source-coordinate		P0	true
609	ctl	content-digest		P0	true
610	ctl	mime-magic-extension-triangulation		P0	true
611	ctl	opaque-artifact-preservation		P0	true
612	ctl	no-silent-drop		P0	true
613	ctl	observed-zero-vs-not-run		P0	true
614	ctl	bounded-recursive-expansion		P0	true
615	ctl	archive-path-traversal-refusal		P0	true
616	ctl	symlink-hardlink-fence		P0	true
617	ctl	decompression-ratio-bound		P0	true
618	ctl	member-count-bound		P0	true
619	ctl	recursive-depth-bound		P0	true
620	ctl	artifact-size-bound		P0	true
621	ctl	parser-wall-clock-bound		P0	true
622	ctl	parser-memory-bound		P0	true
623	ctl	api-rate-bound		P0	true
624	ctl	backpressure-wip-bound		P0	true
625	ctl	sandboxed-decoder		P0	true
626	ctl	default-deny-network		P0	true
627	ctl	no-auto-execution		P0	true
628	ctl	destructive-parser-prohibition		P0	true
629	ctl	malformed-input-nonactuation		P0	true
630	ctl	xxe-disable		P0	true
631	ctl	password-protected-archive-refusal		P0	true
632	ctl	encrypted-input-authority		P0	true
633	ctl	secret-fencing		P0	true
634	ctl	credential-minimization		P0	true
635	ctl	pii-phi-classification		P0	true
636	ctl	data-minimization		P0	true
637	ctl	retention-policy		P0	true
638	ctl	data-residency		P0	true
639	ctl	legal-hold		P0	true
640	ctl	customer-key-boundary		P0	true
641	ctl	tenant-isolation		P0	true
642	ctl	egress-deny		P0	true
643	ctl	malware-quarantine		P0	true
644	ctl	quarantine-does-not-delete		P0	true
645	ctl	license-provenance		P0	true
646	ctl	generated-lineage		P0	true
647	ctl	source-vs-derived-distinction		P0	true
648	ctl	provenance-dag		P0	true
649	ctl	decoder-identity		P0	true
650	ctl	exact-toolchain-identity		P0	true
651	ctl	schema-version-binding		P0	true
652	ctl	cross-repo-coordinate		P0	true
653	ctl	downstream-contract-edge		P0	true
654	ctl	consumer-discovery		P0	true
655	ctl	encoding-detection		P0	true
656	ctl	mainframe-ebcdic		P0	true
657	ctl	unicode-normalization		P0	true
658	ctl	deterministic-normalization		P0	true
659	ctl	namespace-collision		P0	true
660	ctl	schema-validation		P0	true
661	ctl	semantic-admission		P0	true
662	ctl	contradiction-preservation		P0	true
663	ctl	trust-boundary-labeling		P0	true
664	ctl	extension-mime-disagreement		P0	true
665	ctl	stage-separation		P0	true
666	ctl	typed-failure		P0	true
667	ctl	decoder-unsupported-not-invisible		P0	true
668	ctl	read-only-live-observation		P0	true
669	ctl	live-vs-snapshot-distinction		P0	true
670	ctl	timestamp-trust-classification		P0	true
671	ctl	pagination-closure		P0	true
672	ctl	sampling-disclosure		P0	true
673	ctl	checkpoint-resume		P0	true
674	ctl	idempotent-reingestion		P0	true
675	ctl	content-addressed-cache		P0	true
676	ctl	receipt-chain		P0	true
677	ctl	failure-evidence-hash		P0	true
678	ctl	ocel-event-projection		P0	true
679	ctl	independent-replay		P0	true
680	ctl	replay-environment		P0	true
681	ctl	signature-binding		P0	true
682	ctl	audit-export		P0	true
683	ctl	offline-airgap		P0	true
684	ctl	customer-controlled-evidence		P0	true
685	ctl	spdx-cyclonedx-supply-chain		P0	true
686	ctl	cloud-provider-identity		P0	true
687	ctl	live-least-privilege		P0	true
688	ctl	secrets-manager-metadata-only		P0	true
689	ctl	dry-run-before-consequential-extension		P0	true
690	ctl	crown-independent-verifier		P0	true
